eventName,eventVenue,eventContent,startDate,endDate,startTime,endTime,eventOrganization,eventHost,phoneNumber,baseDate,code,providName
뮤지엄남해 9월 전시,뮤지엄남해&동창선아트스테이,내 안의 빛,2021-07-01,2021-09-30,10:00,18:00,뮤지엄남해,뮤지엄남해,055-867-2021,2021-09-06,5430000,경상남도 남해군
바래길작은미술관 9월 전시,남해바래길작은미술관,살만한교,2021-08-31,2021-09-26,09:00,18:00,경상남도 남해군,(사)대안공간 마루,055-862-5557,2021-09-06,5430000,경상남도 남해군
남해유배문학관 9월 전시,남해유배문학관,남해미술협회 정기전,2021-09-10,2021-09-26,09:00,18:00,경상남도 남해군,남해미술협회,055-860-8882,2021-09-06,5430000,경상남도 남해군
김명하의 흥겨운 영덕 아리랑,예주문화예술회관,음악회,2017-01-17,2017-01-17,18:30,20:00,영덕아리랑보존회+사단법인 독도아리랑진흥회,영덕아리랑보존회,054-730-7771,2021-09-15,5180000,경상북도 영덕군
렉쳐 피아노 콘서트,예주문화예술회관,음악회,2017&01&25,2017-01-25,19:20,21-00,경상북도 영덕군,경상북도 영덕군,"054,730,7771",2021-09-15,5180000,경상북도 영덕군
봄을 여는 어우러기 희망콘서트,예주문화예술회관,음악회,2017-03-29,2017-03-29,19:20,21:00,경상북도 영덕군,경상북도 영덕군,054-730-7771,2021-09-15,5180000,경상북도 영덕군
2017 새봄맞이 음악회,예주문화예술회관,음악회,2017-04-06,2017-04-06,19:00,21:00,포항시립교향악단,경상북도 영덕군,054-730-7771,2021-09-15,5180000,경상북도 영덕군
신뻥파전 - 팔도유람,예주문화예술회관,음악회,2017-04-14,2017-04-14,19:30,21:00,한국문화예술회관연합회,경상북도 영덕군,054-730-7771,2021-09-15,5180000,경상북도 영덕군
한 웅큼의 빛,예주문화예술회관,창작연극,2017-04-19,2017-04-19,19:00,20:30,극단 자유바다,극단 자유바다,054-730-7771,2021-09-15,5180000,경상북도 영덕군
광주버스킹연합,상무역,통기타,2019&03&01,2019-11-30,17:00,17-30,M&I악기연습실(광주통기타마을),M&I악기연습실(광주통기타마을),"062,604,8103",2021-09-16,B551232,광주광역시도시철도공사
지니로니통기타,상무역,통기타,2019-03-01,2019-11-30,16:00,17:00,지니로니통기타,지니로니통기타,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
임석인과좋은친구들,상무역,색소폰,2019-03-01,2019-11-30,15:00,16:00,임석인과좋은친구들,임석인과좋은친구들,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
아티스트 인 대구 <손혜영>,용지홀,국악,2021-09-25,2021-09-25,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
광주시낭송가협회,상무역,시낭송,2019-03-01,2019-11-30,19:00,20:00,광주시낭송가협회,광주시낭송가협회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
NCM우쿨렐레 앙상블,상무역,우쿨렐레,2019-03-01,2019-11-30,19:00,20:00,N.C.M.U,N.C.M.U,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
재능시낭송협회 시낭송,상무역,시낭송,2019-03-01,2019-11-30,18:30,19:30,재능시낭송협회,재능시낭송협회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
두리두바 통기타,상무역,통기타,2019-03-01,2019-11-30,17:30,18:30,두리두바,두리두바,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
상무역온마을축제,상무역,종합,2019-03-01,2019-11-30,14:30,16:00,상무역온마을축제,상무역온마을축제,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
농성역하모니예술단,농성역,종합,2019-03-01,2019-11-30,14:00,16:30,농성역 공연단,농성역 공연단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
활인도 공연단,금남로4가역,종합,2019-03-01,2019-11-30,14:00,17:00,활인도 공연단,활인도 공연단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
최세영어울림한마당,금남로4가역,우리춤,2019-03-01,2019-11-30,14:00,15:00,최영선어울림한마당,최영선어울림한마당,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
조단우리가락연구회,금남로4가역,국악,2019-03-01,2019-11-30,15:00,16:00,조단우리가락연구회,조단우리가락연구회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
꿈사랑공연예술단,금남로4가역,가요,2019-03-01,2019-11-30,14:00,15:00,꿈사랑공연예술단,꿈사랑공연예술단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
정미정가요무대,금남로4가역,가요,2019-03-01,2019-11-30,15:00,16:00,정미정가요무대,정미정가요무대,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
금남로4가예술단,금남로4가역,가요,2019-03-01,2019-11-30,16:00,17:00,금남로4가예술단,금남로4가예술단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
코리아문화예술단,금남로4가역,국악,2019-03-01,2019-11-30,15:00,16:00,코리아문화예술단,코리아문화예술단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
빛고을음악회,금남로4가역,색소폰,2019-03-01,2019-11-30,13:30,15:00,빛고을음악회,빛고을음악회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
산여울색소폰연구회,금남로4가역,색소폰,2019-03-01,2019-11-30,13:30,14:30,산여울색소폰연구회,산여울색소폰연구회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
한국문학예술협회 시낭송,금남로4가역,시낭송,2019-03-01,2019-11-30,18:30,19:30,한국문학예술협회,한국문학예술협회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
가야금 앙상블 “280”,예악당,전통예술원 가야금앙상블 “280” 10주년 기념연주회,2017-03-10,2017-03-10,19:00,20:30,국립국악원,가야금 앙상블 “280”,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
금요공감-두번째달 국악 프로젝트,우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
금요공감-기시(旣視)적 충돌(안덕기),우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
금요공감-김준영의 거문고-Broaden(부러  든),우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
금요공감 - 재즈 쿼텟과 함께하는 원완철의 ‘색다른 대금 이야기’,우면당,금요공감,2017-03-10,2017-11-24,20:00,21:30,국립국악원,국립국악원,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
제22회 전국 신인 正歌.樂발표회 '미래를 열어갈 젊은 신인들의 무대',예악당,제22회 전국 신인 正歌.樂발표회 '미래를 열어갈 젊은 신인들의 무대',2017-03-11,2017-03-11,17:00,18:30,국립국악원,(재)월하문화재단,02-764-1778,2020-08-26,1371034,문화체육관광부 국립국악원
이자연의 해금산조,풍류사랑방,이자연의 해금산조,2017-03-12,2017-03-12,17:00,18:00,국립국악원,이자연,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
한국거문고앙상블 제10회 정기연주회 -금세계-,예악당,한국거문고앙상블 제10회 정기연주회 -금세계-,2017-03-12,2017-03-12,17:00,18:00,국립국악원,한국거문고앙상블,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
판소리 수궁가 완창발표회,풍류사랑방,판소리 수궁가 완창발표회,2017-03-14,2017-03-14,19:00,21:00,국립국악원,전은령,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
2017 전통음악연주회,우면당,2017 전통음악연주회,2017-03-15,2017-03-15,19:30,21:00,국립국악원,정농악회,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
산조  소리로 물들다,풍류사랑방,산조  소리로 물들다,2017-03-19,2017-03-19,17:00,18:00,국립국악원,김문주,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
고령군립가야금 연주단 순회공연(서울),우면당,고령군립가야금 연주단 순회공연(서울),2017-03-21,2017-03-21,19:30,20:30,국립국악원,고령군립가야금연주단,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
제60회 허니데이 사랑한마당,예악당,제60회 허니데이 사랑한마당,2017&03&21,2017-03-21,19:30,21-00,국립국악원,락음국악단,"02,580,3300",2020-08-26,1371034,문화체육관광부 국립국악원
2016 피리정악 및 대취타 보존회 정기연주,예악당,2016 피리정악 및 대취타보존회 정기연주,2017-03-22,2017-03-22,20:00,21:30,국립국악원,피리정악 및 대취타 보존회,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
국악콘서트 다담: 오순경-복을 부르는 그림을 내 집안에,우면당,오전의 국악콘서트 ''다담茶談'',2017-03-29,2017-12-27,11:00,12:30,국립국악원,국립국악원. 전통공연예술진흥재단,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
국악콘서트 다담: 송인수-사교육 걱정 없는 세상은 꼭 옵니다,우면당,오전의 국악콘서트 ''다담茶談'',2017-03-29,2017-12-27,11:00,12:30,국립국악원,국립국악원. 전통공연예술진흥재단,02-580-3300,2020-08-26,1371034,문화체육관광부 국립국악원
테너 롤란도 빌라존 리사이틀,용지홀,음악회,2021-10-10,2021-10-10,17:00,19:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <나윤아>,무학홀,음악회,2021-10-14,2021-10-14,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구예술가곡회 <예술가곡의 밤>,용지홀,음악회,2021-10-15,2021-10-15,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
발레 <돈키호테>,용지홀,발레,2021-10-23,2021-10-24,19:00,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
10월 문화가있는날 <이원주>,무학홀,음악회,2021-10-27,2021-10-27,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
수성구여성합창단 수성사랑음악회,용지홀,음악회,2021-10-28,2021-10-28,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
국립발레단 꿈나무 발레 교실 발표,용지홀,발레,2021-11-04,2021-11-04,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 <레미제라블 : 장발장>,용지홀,음악회,2021-11-12,2021-11-12,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
수성청소년오케스트라 정기연주회,용지홀,음악회,2021-11-29,2021-11-29,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
문지영 피아노 리사이틀,용지홀,음악회,2021-12-02,2021-12-02,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
코리안팝스오케스트라,용지홀,음악회,2021-12-05,2021-12-05,17:00,19:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
박상원의 모노드라마 <콘트라바쓰>,용지홀,연극,2021-12-10,2021-12-11,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
TBC 수성아트피아 소년소녀합창단 정기연주회,용지홀,음악회,2021-12-19,2021-12-19,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
크리스마스 페스티벌,무학홀,음악회,2021-12-21,2021-12-25,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
제야음악회,용지홀,음악회,2021-12-31,2021-12-31,22:00,23:59,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
광주다섯손가락음악협동조합,상무역,우쿨렐레,2019-03-01,2019-11-30,18:30,19:30,광주다섯손가락음악협동조합,광주다섯손가락음악협동조합,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
연극 춘분,봉산문화회관 스페이스라온,연극,2019-12-07,2019-12-08,19:30,21:00,극단헛짓,극단헛짓,053-000-0000,2021-07-01,3410000,대구광역시 중구
행복드림예술무대,상무역,종합,2019-03-01,2019-11-30,15:00,17:00,로젠엔터프라이즈(행복드림예술무대),로젠엔터프라이즈(행복드림예술무대),062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
빛고을색소폰연주단,상무역,색소폰,2019-03-01,2019-11-30,19:00,20:00,빛고을색소폰연주단,빛고을색소폰연주단,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
팬플룻그룹팬타곤,상무역,팬플룻,2019-03-01,2019-11-30,18:30,19:30,팬플룻그룹팬타곤,팬플룻그룹팬타곤,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
수령댄스협회,상무역,댄스,2019-03-01,2019-11-30,13:30,14:00,수령댄스협회,수령댄스협회,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
월드뮤직앙상블,상무역,우쿨렐레,2019-03-01,2019-11-30,19:00,20:00,월드뮤직앙상블,월드뮤직앙상블,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
행복한 소리향오카리나,상무역,오카리나,2019-03-01,2019-11-30,18:30,19:30,소리향오카리나,소리향오카리나,062-604-8103,2021-09-16,B551232,광주광역시도시철도공사
대구국제방송교향악단 제42회 정기연주회,용지홀,음악회,2021-07-09,2021-07-09,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구플루트뮤직페어,용지·무학홀,음악회,2021-07-09,2021-07-11,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<국악2>,무학홀,국악,2021-07-13,2021-07-13,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구시립무용단 DCDC,용지홀,무용,2021-07-14,2021-07-14,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악6>,무학홀,음악회,2021-07-14,2021-07-14,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악7>,무학홀,음악회,2021-07-15,2021-07-15,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<무용>,용지홀,무용,2021-07-17,2021-07-17,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아시테지 인 대구,무학홀,연극,2021&07&19,2021-07-25,14:00,15-20,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
제10회 무용축제,용지홀,무용,2021-07-21,2021-07-22,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
7월 문화가있는날 <윤학준>,무학홀,음악회,2021-07-28,2021-07-28,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <김종현>,무학홀,음악회,2021-07-29,2021-07-29,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 라틴음악콘서트 <핑크 마르티니>,무학홀,음악회,2021-07-30,2021-07-30,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
국립극단 <소년이 그랬다>,용지홀,연극,2021-07-30,2021-07-31,20:00,21:30,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <김은형>,무학홀,음악회,2021-08-19,2021-08-19,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
8월 문화가있는날 <국악민요>,무학홀,국악,2021-08-25,2021-08-25,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 라틴음악콘서트 <아이스 아메리카노>,무학홀,음악회,2021-08-27,2021-08-27,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 <지휘자발굴콘서트>,용지홀,음악회,2021-09-03,2021-09-03,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
9월 마티네콘서트,용지홀,음악회,2021&09&09,2021-09-09,11:00,12-30,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
이미연 피아노 리사이틀 Ⅱ,무학홀,음악회,2021&09&11,2021-09-11,19:30,21-00,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
세계안무축제,용지홀,무용,2021-09-11,2021-09-12,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
9월 문화가있는날 <메아리>,무학홀,음악회,2021-09-29,2021-09-29,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
신박듀오 피아노 리사이틀,용지홀,음악회,2021-10-01,2021-10-01,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아스트로 피아졸라 퀸텟,용지홀,음악회,2021-10-02,2021-10-02,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 제41회 정기연주회,용지홀,음악회,2021-04-23,2021-04-23,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
4월 문화가있는날 <김효근의 첫사랑>,용지홀,음악회,2021-04-27,2021-04-27,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <박혜지>,무학홀,음악회,2021&04&29,2021-04-29,19:30,21-00,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 영화음악콘서트,용지홀,음악회,2021&05&04,2021-05-04,19:30,21-00,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
대구국제방송교향악단 <애니메이션 음악회>,용지홀,음악회,2021-05-05,2021-05-05,17:00,19:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
앙상블 피카소 <별이빛나는밤에>,무학홀,음악회,2021-05-06,2021-05-06,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
5월 마티네콘서트,용지홀,음악회,2021&05&13,2021-05-13,11:00,12-30,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
이미연 피아노 리사이틀 Ⅰ,무학홀,음악회,2021-05-21,2021-05-21,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <김세현>,무학홀,국악,2021-05-22,2021-05-22,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악1>,무학홀,음악회,2021-05-25,2021-05-25,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
"5월 문화가있는날 <시, 음악을 입다>",무학홀,음악회,2021-05-26,2021-05-26,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
영남국악관현악단 + 장사익 박애리,용지홀,국악,2021-05-27,2021-05-27,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
수성청소년오케스트라 향상음악회,무학홀,음악회,2021-05-31,2021-05-31,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악2>,무학홀,음악회,2021-06-02,2021-06-02,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<대중음악1>,무학홀,음악회,2021-06-04,2021-06-04,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악3>,무학홀,음악회,2021-06-10,2021-06-10,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<대중음악2>,무학홀,음악회,2021-06-11,2021-06-11,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
아티스트 인 대구 <로만짜>,용지홀,음악회,2021-06-13,2021-06-13,17:00,19:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<국악1>,무학홀,국악,2021&06&15,2021-06-15,19:30,21-00,수성아트피아,수성아트피아,"053,668,1800",2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악4>,무학홀,음악회,2021-06-16,2021-06-16,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<음악5>,무학홀,음악회,2021-06-24,2021-06-24,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
예술인기살리기<연극>,무학홀,연극,2021-06-26,2021-06-26,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
6월 문화가있는날 <김주원>,무학홀,음악회,2021-07-02,2021-07-02,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
7월 마티네콘서트,용지홀,음악회,2021-07-08,2021-07-08,11:00,12:30,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
김성녀의 뮤지컬 모노드라마 벽속의 요정,봉산문화회관 가온홀,뮤지컬,2019-12-08,2019-12-29,15:00,17:00,고도예술기획,고도예술기획,1566-7897,2021-07-01,3410000,대구광역시 중구
찾아가는 문화공연,부산광역시 강서구 명지2동 명지근린공원,"마술,가수공연 등",2019-10-11,2019-10-11,19:00,21:00,부산광역시 강서구,부산광역시 강서구,051-970-4064,2021-09-16,3360000,부산광역시 강서구
열녀춘향 수절가,안숙선명창의 여정,창극,2021-05-08,2021-09-25,20:00,21:30,남원시립국악단,전라북다전라북다문화관광재단남원시,063-620-6167,2021-09-08,4700000,전라북도 남원시
2021 근로자와 함께하는 음악회,시흥문화발전소 창공,"시화연풍 콘서트(국악가요, 판소리 등)",2021-09-29,2021-09-29,12:00,18:30,시크릿 컬처 컴퍼니,시흥시/ 문화체육관광부,031-430-0169,2021-09-01,4010000,경기도 시흥시
2021 유나 DAL 유나 DAY,시흥문화발전소 창공,근로자들을 위한 여행 컨셉의 전시 운영,2021-10-13,2021-10-29,09:00,21:00,유나다움,시흥시/ 문화체육관광부,031-430-0169,2021-09-01,4010000,경기도 시흥시
2021 문화공감학교 올 댓 콘서트,월곶예술공판장 아트독,창작국악 및 탱고 콘서트 공연(비대면 공연),2021-10-20,2021-11-20,00:00,00:00,앙상블온,시흥시,031-310-6737,2021-09-01,4010000,경기도 시흥시
호조벌300주년기념사업 나눔의숨,매화동일대,"호조벌300주년기념식, 마을축제 등",2021-10-30,2021-10-31,00:00,00:00,시흥문화원,시흥시,031-317-0828,2021-09-01,4010000,경기도 시흥시
2021 에코-크리에이터 양성전문과정 결과공유 전시 <에필로그>,모랫골 만지작스튜디오,"공예, 영상, 만화, 공연 분야 수료생 작품전시(업싸이클링 제품, 단편영화, 만화, 일러스트 등)",2021-09-01,2021-09-17,10:00,18:00,시흥시,시흥시,031-310-6268,2021-09-01,4010000,경기도 시흥시
시립합창단 제10회 정기연주회,늠내홀,정통클래식합창공연(비대면),2021-10-22,2021-10-22,10:00,18:00,시흥시,시흥시,031-310-6732,2021-09-01,4010000,경기도 시흥시
찾아가는 우리마을 음악회,군포문화예술회관,음악회,2021-03-01,2021-10-31,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
군포 예인예술제,군포문화예술회관,예술제,2021-08-24,2021-08-29,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
국악정기연주회,군포문화예술회관,국악 연주회,2021-10-01,2021-10-31,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
전국수리무용콩쿠르,군포문화예술회관,무용 콩쿠르,2021-09-04,2021-09-05,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
대중음악이야기,철쭉동산,음악회,2021-05-01,2021-05-31,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
전국수리음악콩쿠르,군포문화예술회관,음악 콩쿠르,2021-06-22,2021-07-01,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
전국수리동요대회,군포문화예술회관,동요대회,2021-05-04,2021-05-06,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
수리합창제,군포문화예술회관,합창제,2021-10-01,2021-10-31,09:00,18:00,군포시,한국예총,031-390-0063,2021-09-15,4020000,경기도 군포시
2021 문화가 있는 날 무료영화상영,문화예술회관,무료영화 상영,2021-01-01,2021-12-31,18:00,00:00,단양군,단양군,043-420-2554,2021-09-09,4480000,충청북도 단양군
선우예권 피아노 리사이틀,용지홀,음악회,2021-02-05,2021-02-05,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
임동민&임동혁 피아노 듀오 리사이틀,용지홀,음악회,2021-03-05,2021-03-05,19:30,21:00,수성아트피아,수성아트피아,053-668-1800,2021-09-02,3460000,대구광역시 수성구
