,collectiondb,creator,description,extent,language,regdate,rights,title
20,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"진정한 교육의 희망을 부르는 작가이자 시인, 한국인 교사의 교육 산문 모음집입니다. 총 300 명 미만의 작은 중학교에서 가르치면서 아이들과 함께 나누는 따뜻한 일상과 생생한 교육 현장을 이야기한다. 아이들의 삶을 지켜보고 함께 지내는 과정에서 아이들과 함께하는 짜릿한 에피소드는 감동을 전달한다.",242,Kor,2011-01-25T00:00:00+09:00,최은숙,성깔 있는 나무들
21,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"어린이, 어른, 자신이 보는 세계로 나뉘어 어른의 이미지와 아이의 독특한 관점에서 본 세계를 전달한다. 언뜻보기에 아이들의 모습은 어른의 눈에는 드물지 않은 일에 대해 기뻐하거나 슬퍼하며, 그들 만의 의미를 부여해 특별하면서도 따뜻한 감성을 느끼게한다.",95,Kor,2011-02-15T00:00:00+09:00,"주디스 라자르 글, 표주란 그림/ 전용희","아이들 눈에 비친 어른, 세상, 그리고 나"
22,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 서양 음악의 기원에서 바흐와 헨델이 대표하는 바로크 시대에 이르기까지 음악의 역사를 조사합니다. 고대 음악, 중세 음악, 르네상스 음악, 바로크 음악으로 나뉘어졌으며, 역사적 중요성과 가치가 큰 음악 스타일과 장르, 연령 순으로 작곡가를 엄선하여 서양 음악 역사의 트렌드를 이해하기 쉽게 만들었습니다. 17 세기 전반. .",279,Kor,2011-02-15T00:00:00+09:00,박을미,모두를 위한 서양음악사 1
23,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"유럽과 미국 대륙에서 통화로 된 세계 유산을 지적하고 각 유산과 그 선택 배경을 소개합니다. 교과서에 익숙해 진 세계 문화 유산과 각국의 화폐를 통해 세계 곳곳에 알려지지 않았던 유명한 장소와 세계 유산을 소개하고, 각 유산과 관련된 흥미로운 일화와 신화를 소개하여 흥미를 더한다.",204,Kor,2010-12-31T00:00:00+09:00,"배원준, 김온유 글, 옥결 그림",화폐로 보는 이웃나라 세계유산 : 유럽과 아메리카 편
24,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"마치 놀고있는 것처럼 재미있게 즐기면서 철학적 사고를 배울 수있는 책입니다. '실수를하지 않으면 어떨까?', '더 거짓말을할수록 코가 길어질 까?', '행복하게 살 수 있다면?', '미래를 볼 수 있다면?' 그것은 할 가상 섹션과 주제와 관련된 유용한 정보를 포함합니다.",135,Kor,2010-12-24T00:00:00+09:00,"이자벨 아우어바흐, 이본느 바인델 글, 안야 필러 그림/ 이미옥",상상하며 배우는 철학 놀이
25,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"새로운 생각의 힘을 불러 일으키는 New Archives 시리즈 3 권. 중국 문학 학자 작가는 이순신의 『성호사설』의 내용과 의미를 현대적으로 되짚어 본다. 성호의 삶 이데올로기, 지식인으로서의 얼굴, 계급과 차별, 착취, 사치, 조선 사회의 부패 관료, 돈을 비판했던 이상 국가론과 경제 이론 등 38 개 주제를 전개한다.",286,Kor,2011-06-28T00:00:00+09:00,강명관,"성호, 세상을 논하다"
26,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,오랜만에 지구로 돌아온 10 대 어린 왕자가 우연한 기회에 주인공 '나'와 함께 길을 갔던 대화와 에피소드를 담은 『어린 왕자』의 속편. 특정 신념이나 철학에 편향되지 않은 보편적이고 위대한 메시지를 전달하며 회복되어야하는 인간의 내면적 가치를 담고 있습니다.,215,Kor,2011-11-20T00:00:00+09:00,A.G. 로엠메르스/ 김경집,어린왕자 두 번째 이야기
27,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"MBC 창작 그림 상을 수상한 동화 작가 김해 외의 장편 영화로 수연, 가드, VIP, 종구 등 친구들과 함께 몬스터가 나오는 자작 나무 숲이다. 비밀 탐험을하면서 경험하는 모험이 담겨 있습니다. 현우는 자신의 잠재 된 용기를 발견하고 약점을 극복하고 성장을 따라 간다.",171,Kor,2011-11-10T00:00:00+09:00,"김해등 글, 이광익 그림",반 토막 서현우
28,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"독서하는 여성을 그린 그림과 사진 등의 작품과 여성의 독서 활동과 독서 환경이 역사에서 어떻게 변했는지 소개합니다. 문명 시작부터 중세, 16 ~ 18 세기, 19 세기, 20 세기까지 총 4 장으로 구성되어있다.",263,Kor,2011-12-05T00:00:00+09:00,크리스티아네 인만/ 엄미정,판도라의 도서관
29,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"Vol. 「국립 지리 청년 글로벌 자유 지리」의 1 장. 고대 그리스, 로마 제국, 고대 이집트, 고인도, 바빌론, 마야, 잉카, 아즈텍 등 시대를 누렸던 세계 8 대 고대 문명의 역사, 사회, 문화, 예술, 과학 기술을 통해 사진, 고대 문명의 오늘과 내일의 세부 사항이 밝혀졌습니다.",280,Kor,2011-11-21T00:00:00+09:00,내셔널지오그래피 편집위원회/ 정영선,사라진 고대 문명
30,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"청소년을위한 세계 프로젝트 읽기 시리즈 6 권. 이것은 사려 깊은 청소년을위한 내적 탐구에 대한 안내입니다. '자신을 알아라'라는 말로 유명한 소크라테스부터 몽테뉴와 파스칼, 현대 심리 기법에 이르기까지 그는 자신을 탐구하는 역사를 소개합니다. 감각 지각 및 자존감 테스트가 부록으로 포함되었습니다.",152,Kor,2011-11-29T00:00:00+09:00,"마르틴 라퐁 글, 파스칼 르메르트 그림/ 신성림",나를 찾습니다
31,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"""피 에라 한국 문화 시리즈""3 권에서는 우리 식탁의 맛과 의미를 소개합니다. 한식의 역사와 기본 조미료, 상식, 제철 음식, 허브, 발효 식품, 고명, 다과, 오늘의 한식, 역사 속의 요리 책 등을 소개하여 아이들이 맛과 스타일을 즐길 수 있도록 제가 만들었습니다. 의미를 제대로 이해할 수 있습니다.",188,Kor,2012-03-10T00:00:00+09:00,"김하은 글, 김언희 그림","한식, 우주를 담은 밥상"
32,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"문학 평론가와 영화 평론가로 활동하는 작가들이 영화를 읽는 감각을 키우고이를 바탕으로 좋은 글을 쓰는 데 도움이되는 영화 에세이 작성 가이드입니다. 작가는 정보화, 북한, 도시화, 소수자, 환경 등 20 가지 주제를 정하고, 100 편 이상의 동서양 영화를 통해 음모와 숨겨진 의미를 명확하게 정리했다.",241,Kor,2012-02-29T00:00:00+09:00,강유정,스무 살 영화觀
33,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"현재 '문화재의 장소 찾기'대표로 활동하고 있으며 해외로 수출 된 문화재 회수 운동을 실천하고있는 혜문 승려가 우리 문화재의 진실을 바로 잡기위한 연구와 실천의 기록을 전한다. 일본 문화재 약탈 이야기, 우리가 회수 한 문화재, 앞으로 회수해야 할 문화재를 차례로 소개합니다.",256,Kor,2012-03-05T00:00:00+09:00,혜문,빼앗긴 문화재를 말하다
34,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"대만 철학 교수 인 푸 페이 롱 (Fu Pei-Long)이 노자 (Lao-tse)와 장즈 (Zhang Zhi)의 생각을 설명합니다. 도와 덕을 삶의 본질로 이해 한 노자의 이야기와이를 우화로 해석 한 장남의 이야기를 만날 수 있으며, 구식 이데올로기의 본질이 사례를 바탕으로 새로운 해석을 통해 제시된다. 일상 생활에서 쉽게 경험할 수있는 풍부한 지식과",223,Kor,2012-02-27T00:00:00+09:00,푸페이룽/ 한정선,노자를 읽고 장자에게 배운다
35,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 가장 필수적인 정치 개념 인 자유, 평등, 정의부터 현대 사회의 가장 큰 관심사 인 세계화와 국제 갈등에 이르기까지 반드시 알아야 할 50 가지 정치 개념을 요약합니다. 50 개의 개념 단어마다 유명한 정치 사상가의 인용문을 인용하고 각 항목에 타임 라인을 표시하여 시대의 문제를 한 눈에 볼 수 있습니다.",311,Kor,2012-02-29T00:00:00+09:00,벤 뒤프레/ 이경희 외,반드시 알아야 할 50 위대한 정치
36,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"현대 소비 문화와 풍요로운 일상의 상징 인 백화점을 배경으로 백화점에 몰래 숨어있는 노숙자의 모험을 그린 청년 소설이다. 일반인의 소비의 대상이되는 백화점은 주인공 리비 가족의 생존과 모험의 공간이되며, 그 속에서 가족의 소중함을 일깨워줍니다. 가족과 함께있는 것처럼 절망적입니다.",302,Kor,2012-03-15T00:00:00+09:00,알렉스 쉬어러/ 김호정,두근두근 백화점
37,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"사회학, 심리학, 교육학, 경제학, 범죄학을 포함하여 각 학문 분야를 대표하는 12 명의 연구자들은 8 년 동안 장기적인 성인기와 자립 할 수없는 젊은이들을 대상으로 한 연구 결과를 포함했습니다. 저자들은 젊은이들을 교육, 직업, 사랑과 결혼, 친구와 소셜 네트워크, 부모 관계, 디지털로 구분하여 청소년의 미래에 결정적인 역할을 할 요소를 분석하고 대안을 제시합니다.",372,Kor,2012-06-20T00:00:00+09:00,리처드 세터스텐 외/ 이경남,20대=독립은 끝났다!
38,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,교과서의 경제학 단어를 쉽게 풀고 관련 배경 지식을 쉽게 이해할 수 있습니다. 학생들은 세금을 내야합니까? 친구에게 돈을 빌려이자를받을 수 있습니까? 학생들이 돈을 버는 방법이 있습니까? 청년들이 현재 궁금해하는 실생활의 경제적 문제 등을 시작으로 경제 원리로 돌아가는 세계의 큰 틀을 볼 수 있도록 안내한다.,243,Kor,2012-07-20T00:00:00+09:00,"이완배 글, 풀무지 그림","경제교과서, 세상에 딴지 걸다"
39,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"한국에 사는 거미를 모아서 분류하고 거미의 생태를 연구해온 저자는 거미와 관련된 다양한 이야기를 들려 준다. 거미에 대한 57 개의 관찰 일기가수록되어 있으며, 인간을 제외하고는 자연에 사는 유일한 생물로 도구를 사용하여 자신을 보호하고 먹이를 잡습니다.",296,Kor,2012-08-01T00:00:00+09:00,이영보,실 잣는 사냥꾼 거미
40,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"대한민국 1 위 스피치 커뮤니케이션 박사. 주제에 맞는 실험, 풍부한 사례, 관련 서적, 역사적 사건 등을 소개하며 흥미를 더한다.",303,Kor,2012-07-23T00:00:00+09:00,"김은성, 김재원",리더의 7가지 언어
41,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,세계 지리 강좌의 내용을 스토리 텔링과 이미지를 통해 쉽고 재미있게 소개합니다. 대륙 별 및 국가 별 테마를 선택하여 작성하여 세계 여행의 가이드로 사용할 수 있습니다.,330,Kor,2012-07-25T00:00:00+09:00,"박찬영 외 글, 문수민 외 그림",세계지리를 보다 1~3
42,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 철학사에 대한 이해하기 쉬운 해석이다. 고대 철학자에서 현대 철학자에 이르기까지 철학자들 사이의 논쟁과 그들의 관계가 친절하게 묘사되어 있습니다. 사제 관계, 영향 관계, 대립 관계 등을 파악할 수 있으며, 각각 다른 색으로 구분하여 사상사의 흐름을 한눈에 볼 수있다. 개정판입니다.",341,Kor,2012-07-05T00:00:00+09:00,김영범,하루에 떠나는 철학여행
43,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 미래 환경을 고향으로 삼아야하는 청소년들이 알아야 할 지구와 환경 이야기를 담고 있습니다. 비정상적인 기후, 멸종, 동물 복지 및 식량 문제와 같은 주요 환경 문제와 현재 환경 문제도 해결되었습니다.",280,Kor,2013-04-22T00:00:00+09:00,남종영,생각하는 십대를 위한 환경 교과서 지구가 뿔났다
44,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,이 책은 경제학의 기본 개념에서 주류 경제학의 다양한 원리를 소개합니다. 시장 경제와 주류 경제의 이론을 설명하면서 경제에 대한 균형 잡힌 시각을 가질 수 있도록 다양한 관점과 반대 관점을 소개합니다.,392,Kor,2013-04-09T00:00:00+09:00,권재원 외,논쟁하는 경제 교과서
45,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"<전통 문화 한눈에보기> 시리즈 19 번째 책이다. 수원 화성, 전통 음식, 천문학, 전쟁 무기, 계 우기 등의 사례를 통해 조상의 지혜를 담은 전통 과학을 만날 수 있습니다. 설명 된 과학적 원리는 아이들의 이해를 돕기 위해 사용되었습니다.",104,Kor,2013-03-22T00:00:00+09:00,정재은,옛 생활 구석구석에 숨은 전통 과학
46,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 왜 어떤 학생이 공부를해야하는지, 왜 공부가 가능해야하는지, 효과적인 준비와 복습이 어떻게 되는가와 같은 질문에 대한 답을 설명합니다. 학생들이 연습 할 수 있도록 2 주간의 학습 연습 계획을 정리했습니다.",224,Kor,2013-04-30T00:00:00+09:00,"김연민,서승덕,이성근,조재홍,홍정수",14일 공부 습관 스스로 길들이기
47,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이 책은 해인 해 인, 고은, 이오령, 혜민 등이 시대의 교사로 불리는 17 명의 유명 인사로부터 얻은 소중한 삶의 지혜를 정리 한 책이다. 운명, 사랑, 헌신, 성공, 행복, 가족 등 인생에서 경험할 수있는 다양한 주제에 접근했습니다.",328,Kor,2013-05-08T00:00:00+09:00,이태형,인생에서 가장 소중한 것
48,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,'텐텐 필름 컴퍼니'로 케이블 방송사가 주최하는 청년 제작 프로그램에 참여한 만개 한 청소년들의 이야기를 담은 소설이다. 청소년이 학교를 떠나는 현상과 과열 된 경쟁 시스템을 다룬다.,248,Kor,2013-05-30T00:00:00+09:00,김혜정,텐텐 영화단
49,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"자연과 이웃에 대한 동시 총 4 권을수록 한 책이다. 1 부는 아이들의 눈으로 주변 사물에 대한 감상을, 2 부는 가족의 이야기를, 3 부는 산골 마을 이웃의 삶을, 4 부는 자연의 소중함을 노래했다.",160,Kor,2013-05-20T00:00:00+09:00,"서정홍 글, 신가영 그림",나는 못난이
50,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,아르헨티나에 사는 다빈은 가족의 이야기를 들려줍니다. 실제로 아르헨티나에 살았던 작가는 이민자 가정의 아이들이 경험하지 않았 으면 알기 어려운 독특한 문화와 생활 방식을 생생하게 해체함으로써 이주민 가정의 아이들이 겪는 문제를 생생하게 경험할 수있다.,168,Kor,2016-05-15T00:00:00+09:00,이슬인,꼬레아에서 온 아이
51,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이것은 Andersen 동화의 완전한 모음입니다. 우리에게 익숙한 이야기뿐만 아니라 잘 알려지지 않았지만 작업 성으로 인정받은 명작도 포함됩니다. 각 작업에는 작업의 출처, 중요성 및 배경을 알리는 전문가 해설이 수반됩니다. 동화의 첫 삽화와 20 세기 초의 삽화와 같은 골동품 그림도 포함되었습니다.",각권 420,Kor,2016-01-28T00:00:00+09:00,"한스 크리스티안 안데르센 글, 빌헬름 페데르센 외 그림/햇살과나무꾼",안데르센 동화집(4~7)
52,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"아버지는 천국에서 아들에게 위험한 일이 벌어지고 있다는 사실을 알게되고, 아들을 위험으로부터 보호하기 위해 대신 친구를 보내면서 에피소드를 그립니다. 가짜 귀신 아빠와의 즐거운 사건과 자동차 사고에서 아들을 구해준 진짜 귀신 아빠와의 다정한 만남은 즐겁고 감동적이다.",152,Kor,2016-05-10T00:00:00+09:00,"김정미 글, 전병준 그림",유령과 함께한 일주일
53,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"미래의 환경 재앙을 경고하는 독일 청소년 소설. 지구 온난화로 자연 생태계가 파괴 된 2120 년, 야생 동물을보기 위해 100 년 전 가족 여행을 떠난 조 하난은 시간 여행 수면 유도제를 잃어버린 과거에 홀로 남겨진다. 그 후, 미래로 돌아가는 어려운 여정이 시작됩니다.",252,Kor,2016-05-30T00:00:00+09:00,"안야 슈튀르처 글, 율리아 뒤어 그림/김완균",2120년에서 친구가 찾아왔다
54,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,조선 후기 위정 척사 파벌의 대표로 알려진 최익현은 황실이 침략 한 혼란 속에서 우리의 전통 이념과 질서를 지키려고 노력했다. 저자는 최익현의 인간적 측면을 중심으로 위정 척사파와 의병장의 활동을 이끌었던 이유를 설명한다.,306,Kor,2016-05-18T00:00:00+09:00,이승하 ,어린이와 청소년이 함께 읽는 마지막 선비 최익현
55,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"이것은 인간에 대해 다시 생각하는 책입니다. 가족이 중요한 이유, 부자가 항상 행복한 지, 왜 자유가 필요한지, 어떤 직업을 취해야하는지 등 인간의 이데올로기, 문화, 사회를 탐구하는 주제로 나누어 질문하고, 아이들은 이에 대한 답을 이해합니다. 그 질문. 쉽게 출시됩니다.",262,Kor,2016-04-19T00:00:00+09:00,"양태석 글, 추덕영 그림",인성과 생각머리를 키워 주는 인문학 생각사전
56,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,"1 년에 거의 300 번 강의를하고 10 대들을 만나는 작가는 외모, 공부와 직업, 우정, 괴롭힘과 학교 폭력, 가족 문제, 이성과 친구 사귀기 등 10 대들에게 가장 큰 고민 거리다. 화제로 뽑아 낸 주제에 대해 서로 소통하고 입소문으로 조언하는 내용이다.",200,Kor,2016-08-08T00:00:00+09:00,고정욱,너희는 보석 같은 존재
57,한국출판문화산업진흥원 DB,한국출판문화산업진흥원,이 책은 한국인 귀화 자이자 독도 전문가 인 작가의 책으로 오랜 연구 끝에 독도가 한국 영토 인 이유를 설명한다. 지난 1500 년의 역사를 되돌아 보는 과정에서 독도가 한국 영토임을 입증하는 자료와 함께 독도가 한국 영토로 간주되었다는 증거를 확인할 수 있습니다.,268,Kor,2016-08-15T00:00:00+09:00,호사카 유지,"독도, 1500년의 역사"
